t_tot,t,m,m2,m4,E
0.009722222222222222,0.009722222222222222,0.0111111111111,0.000123456790123,1.52415790276e-08,-196
0.024166666666666666,0.014444444444444444,0.04,0.0016,2.56e-06,-372
0.02722222222222222,0.0030555555555555557,0.0461111111111,0.0021262345679,4.52087343774e-06,-404
0.028888888888888888,0.0016666666666666668,0.0427777777778,0.0018299382716,3.34867407788e-06,-428
0.03333333333333333,0.0044444444444444444,0.0516666666667,0.00266944444444,7.12593364198e-06,-484
0.03638888888888889,0.0030555555555555557,0.0577777777778,0.00333827160494,1.11440573083e-05,-528
0.11166666666666666,0.07527777777777778,0.208333333333,0.0434027777778,0.00188380111883,-1340
0.11694444444444445,0.005277777777777778,0.218888888889,0.047912345679,0.00229559286847,-1408
0.13083333333333333,0.013888888888888888,0.246666666667,0.0608444444444,0.00370204641975,-1560
0.13305555555555554,0.0022222222222222222,0.242222222222,0.0586716049383,0.00344235722603,-1588
0.1336111111111111,0.0005555555555555556,0.241111111111,0.0581345679012,0.00337962798506,-1600
0.24416666666666664,0.11055555555555556,0.02,0.0004,1.6e-07,-2348
0.5402777777777777,0.2961111111111111,0.612222222222,0.374816049383,0.140487070875,-4012
0.5433333333333333,0.0030555555555555557,0.618333333333,0.382336111111,0.14618090186,-4056
1.3288888888888888,0.7855555555555556,-0.952777777778,0.907785493827,0.824074502803,-6668
2.304722222222222,0.9758333333333333,0.998888888889,0.997779012346,0.995562957477,-7184
3.3041666666666663,0.9994444444444445,-1.0,1.0,1.0,-7200
4.304166666666666,1.0,1.0,1.0,1.0,-7200
5.304166666666666,1.0,-1.0,1.0,1.0,-7200
6.304166666666666,1.0,1.0,1.0,1.0,-7200
7.304166666666666,1.0,-1.0,1.0,1.0,-7200
8.304166666666667,1.0,1.0,1.0,1.0,-7200
9.304166666666667,1.0,-1.0,1.0,1.0,-7200
10.304166666666667,1.0,1.0,1.0,1.0,-7200
11.304166666666667,1.0,-1.0,1.0,1.0,-7200
12.304166666666667,1.0,1.0,1.0,1.0,-7200
13.304166666666667,1.0,-1.0,1.0,1.0,-7200
14.304166666666667,1.0,1.0,1.0,1.0,-7200
15.304166666666667,1.0,-1.0,1.0,1.0,-7200
16.30388888888889,0.9997222222222222,0.999444444444,0.998889197531,0.997779628944,-7192
17.30361111111111,0.9997222222222222,-1.0,1.0,1.0,-7200
18.30361111111111,1.0,1.0,1.0,1.0,-7200
19.30361111111111,1.0,-1.0,1.0,1.0,-7200
20.30361111111111,1.0,1.0,1.0,1.0,-7200
21.30361111111111,1.0,-1.0,1.0,1.0,-7200
22.30361111111111,1.0,1.0,1.0,1.0,-7200
23.30361111111111,1.0,-1.0,1.0,1.0,-7200
24.30361111111111,1.0,1.0,1.0,1.0,-7200
25.30361111111111,1.0,-1.0,1.0,1.0,-7200
26.30361111111111,1.0,1.0,1.0,1.0,-7200
27.30361111111111,1.0,-1.0,1.0,1.0,-7200
28.30361111111111,1.0,1.0,1.0,1.0,-7200
29.30361111111111,1.0,-1.0,1.0,1.0,-7200
30.30333333333333,0.9997222222222222,0.999444444444,0.998889197531,0.997779628944,-7192
