t_tot,t,m,m2,m4,E
0.02875,0.02875,-0.0575,0.00330625,1.09312890625e-05,-156
0.2825,0.25375,0.45,0.2025,0.04100625,-1232
0.29124999999999995,0.00875,0.4675,0.21855625,0.0477668344141,-1288
0.29187499999999994,0.000625,0.46875,0.2197265625,0.0482797622681,-1296
0.9381249999999999,0.64625,-0.82375,0.6785640625,0.460449186917,-2512
0.9387499999999999,0.000625,-0.825,0.680625,0.463250390625,-2520
1.839375,0.900625,0.97625,0.9530640625,0.908331107229,-3084
2.8268750000000002,0.9875,-0.99875,0.9975015625,0.99500936719,-3192
3.8262500000000004,0.999375,1.0,1.0,1.0,-3200
4.82625,1.0,-1.0,1.0,1.0,-3200
5.82625,1.0,1.0,1.0,1.0,-3200
6.82625,1.0,-1.0,1.0,1.0,-3200
7.82625,1.0,1.0,1.0,1.0,-3200
8.82625,1.0,-1.0,1.0,1.0,-3200
9.82625,1.0,1.0,1.0,1.0,-3200
10.82625,1.0,-1.0,1.0,1.0,-3200
11.82625,1.0,1.0,1.0,1.0,-3200
12.82625,1.0,-1.0,1.0,1.0,-3200
13.82625,1.0,1.0,1.0,1.0,-3200
14.82625,1.0,-1.0,1.0,1.0,-3200
15.82625,1.0,1.0,1.0,1.0,-3200
16.82625,1.0,-1.0,1.0,1.0,-3200
17.82625,1.0,1.0,1.0,1.0,-3200
18.82625,1.0,-1.0,1.0,1.0,-3200
19.82625,1.0,1.0,1.0,1.0,-3200
20.82625,1.0,-1.0,1.0,1.0,-3200
21.82625,1.0,1.0,1.0,1.0,-3200
22.82625,1.0,-1.0,1.0,1.0,-3200
23.82625,1.0,1.0,1.0,1.0,-3200
24.82625,1.0,-1.0,1.0,1.0,-3200
25.82625,1.0,1.0,1.0,1.0,-3200
26.82625,1.0,-1.0,1.0,1.0,-3200
27.82625,1.0,1.0,1.0,1.0,-3200
28.82625,1.0,-1.0,1.0,1.0,-3200
29.82625,1.0,1.0,1.0,1.0,-3200
30.82625,1.0,-1.0,1.0,1.0,-3200
31.82625,1.0,1.0,1.0,1.0,-3200
32.82625,1.0,-1.0,1.0,1.0,-3200
33.82625,1.0,1.0,1.0,1.0,-3200
34.82625,1.0,-1.0,1.0,1.0,-3200
35.82625,1.0,1.0,1.0,1.0,-3200
36.82625,1.0,-1.0,1.0,1.0,-3200
37.82625,1.0,1.0,1.0,1.0,-3200
38.82625,1.0,-1.0,1.0,1.0,-3200
39.82625,1.0,1.0,1.0,1.0,-3200
40.82625,1.0,-1.0,1.0,1.0,-3200
41.82625,1.0,1.0,1.0,1.0,-3200
42.82625,1.0,-1.0,1.0,1.0,-3200
43.82625,1.0,1.0,1.0,1.0,-3200
44.82625,1.0,-1.0,1.0,1.0,-3200
45.82625,1.0,1.0,1.0,1.0,-3200
46.82625,1.0,-1.0,1.0,1.0,-3200
47.82625,1.0,1.0,1.0,1.0,-3200
48.82625,1.0,-1.0,1.0,1.0,-3200
49.82625,1.0,1.0,1.0,1.0,-3200
50.82625,1.0,-1.0,1.0,1.0,-3200
