t_tot,t,m,m2,m4,E
0.0055,0.0055,0.0106,0.00011236,1.26247696e-08,-192
0.0126,0.0071,-0.0036,1.296e-05,1.679616e-10,-452
0.0135,0.0009,-0.0054,2.916e-05,8.503056e-10,-492
0.0224,0.0089,-0.0232,0.00053824,2.897022976e-07,-768
0.0297,0.0073,-0.0378,0.00142884,2.0415837456e-06,-1020
0.1172,0.0875,0.1372,0.01882384,0.000354336952346,-2964
0.1202,0.003,0.1312,0.01721344,0.000296302516634,-3072
0.1205,0.0003,0.1318,0.01737124,0.000301759979138,-3088
0.3238,0.2033,-0.2748,0.07551504,0.0057025212662,-5640
0.32389999999999997,0.0001,-0.275,0.075625,0.005719140625,-5648
0.7335,0.4096,0.5442,0.29615364,0.0877069784852,-10120
1.4098000000000002,0.6763,-0.8084,0.65351056,0.427076052031,-15644
2.295,0.8852,0.962,0.925444,0.856446597136,-19000
3.2755,0.9805,-0.999,0.998001,0.996005996001,-19964
4.275,0.9995,1.0,1.0,1.0,-20000
5.275,1.0,-1.0,1.0,1.0,-20000
6.275,1.0,1.0,1.0,1.0,-20000
7.275,1.0,-1.0,1.0,1.0,-20000
8.275,1.0,1.0,1.0,1.0,-20000
9.275,1.0,-1.0,1.0,1.0,-20000
10.275,1.0,1.0,1.0,1.0,-20000
11.275,1.0,-1.0,1.0,1.0,-20000
12.275,1.0,1.0,1.0,1.0,-20000
13.275,1.0,-1.0,1.0,1.0,-20000
14.275,1.0,1.0,1.0,1.0,-20000
15.275,1.0,-1.0,1.0,1.0,-20000
16.275,1.0,1.0,1.0,1.0,-20000
17.275,1.0,-1.0,1.0,1.0,-20000
18.275,1.0,1.0,1.0,1.0,-20000
19.275,1.0,-1.0,1.0,1.0,-20000
20.275,1.0,1.0,1.0,1.0,-20000
21.275,1.0,-1.0,1.0,1.0,-20000
22.275,1.0,1.0,1.0,1.0,-20000
23.275,1.0,-1.0,1.0,1.0,-20000
24.275,1.0,1.0,1.0,1.0,-20000
25.275,1.0,-1.0,1.0,1.0,-20000
26.275,1.0,1.0,1.0,1.0,-20000
27.275,1.0,-1.0,1.0,1.0,-20000
28.275,1.0,1.0,1.0,1.0,-20000
29.275,1.0,-1.0,1.0,1.0,-20000
30.275,1.0,1.0,1.0,1.0,-20000
31.275,1.0,-1.0,1.0,1.0,-20000
32.275,1.0,1.0,1.0,1.0,-20000
33.275,1.0,-1.0,1.0,1.0,-20000
34.275,1.0,1.0,1.0,1.0,-20000
35.275,1.0,-1.0,1.0,1.0,-20000
36.275,1.0,1.0,1.0,1.0,-20000
37.275,1.0,-1.0,1.0,1.0,-20000
38.275,1.0,1.0,1.0,1.0,-20000
39.275,1.0,-1.0,1.0,1.0,-20000
40.275,1.0,1.0,1.0,1.0,-20000
41.275,1.0,-1.0,1.0,1.0,-20000
42.275,1.0,1.0,1.0,1.0,-20000
43.275,1.0,-1.0,1.0,1.0,-20000
44.275,1.0,1.0,1.0,1.0,-20000
45.275,1.0,-1.0,1.0,1.0,-20000
46.275,1.0,1.0,1.0,1.0,-20000
47.275,1.0,-1.0,1.0,1.0,-20000
48.275,1.0,1.0,1.0,1.0,-20000
49.275,1.0,-1.0,1.0,1.0,-20000
50.275,1.0,1.0,1.0,1.0,-20000
51.275,1.0,-1.0,1.0,1.0,-20000
52.275,1.0,1.0,1.0,1.0,-20000
53.275,1.0,-1.0,1.0,1.0,-20000
54.275,1.0,1.0,1.0,1.0,-20000
55.275,1.0,-1.0,1.0,1.0,-20000
56.275,1.0,1.0,1.0,1.0,-20000
57.275,1.0,-1.0,1.0,1.0,-20000
58.275,1.0,1.0,1.0,1.0,-20000
59.275,1.0,-1.0,1.0,1.0,-20000
60.275,1.0,1.0,1.0,1.0,-20000
61.275,1.0,-1.0,1.0,1.0,-20000
62.275,1.0,1.0,1.0,1.0,-20000
63.275,1.0,-1.0,1.0,1.0,-20000
64.275,1.0,1.0,1.0,1.0,-20000
65.275,1.0,-1.0,1.0,1.0,-20000
66.275,1.0,1.0,1.0,1.0,-20000
67.275,1.0,-1.0,1.0,1.0,-20000
68.275,1.0,1.0,1.0,1.0,-20000
69.275,1.0,-1.0,1.0,1.0,-20000
70.275,1.0,1.0,1.0,1.0,-20000
71.275,1.0,-1.0,1.0,1.0,-20000
72.275,1.0,1.0,1.0,1.0,-20000
73.275,1.0,-1.0,1.0,1.0,-20000
74.275,1.0,1.0,1.0,1.0,-20000
75.275,1.0,-1.0,1.0,1.0,-20000
76.275,1.0,1.0,1.0,1.0,-20000
77.275,1.0,-1.0,1.0,1.0,-20000
78.275,1.0,1.0,1.0,1.0,-20000
79.275,1.0,-1.0,1.0,1.0,-20000
80.275,1.0,1.0,1.0,1.0,-20000
