t_tot,t,m,m2,m4,E
0.0012,0.0012,0.0144,0.00020736,4.29981696e-08,72
0.0015999999999999999,0.0004,0.0136,0.00018496,3.42102016e-08,76
0.002,0.0004,0.0144,0.00020736,4.29981696e-08,68
0.0024000000000000002,0.0004,0.0136,0.00018496,3.42102016e-08,64
0.0028000000000000004,0.0004,0.0144,0.00020736,4.29981696e-08,64
0.0036000000000000003,0.0008,0.0128,0.00016384,2.68435456e-08,64
0.005600000000000001,0.002,0.0168,0.00028224,7.96594176e-08,52
0.006400000000000001,0.0008,0.0184,0.00033856,1.146228736e-07,52
0.009200000000000002,0.0028,0.0128,0.00016384,2.68435456e-08,44
0.009600000000000001,0.0004,0.0136,0.00018496,3.42102016e-08,36
0.01,0.0004,0.0144,0.00020736,4.29981696e-08,32
0.0124,0.0024,0.0192,0.00036864,1.358954496e-07,20
0.0136,0.0012,0.0216,0.00046656,2.176782336e-07,12
0.0156,0.002,0.0176,0.00030976,9.59512576e-08,4
0.0184,0.0028,0.0232,0.00053824,2.897022976e-07,-4
0.0192,0.0008,0.0248,0.00061504,3.782742016e-07,-8
0.020399999999999998,0.0012,0.0272,0.00073984,5.473632256e-07,-12
0.025599999999999998,0.0052,0.0376,0.00141376,1.9987173376e-06,-52
0.026,0.0004,0.0368,0.00135424,1.8339659776e-06,-52
0.0276,0.0016,0.0336,0.00112896,1.2745506816e-06,-72
0.028,0.0004,0.0344,0.00118336,1.4003408896e-06,-76
0.03,0.002,0.0384,0.00147456,2.1743271936e-06,-84
0.032,0.002,0.0344,0.00118336,1.4003408896e-06,-76
0.0328,0.0008,0.0328,0.00107584,1.1574317056e-06,-76
0.0332,0.0004,0.032,0.001024,1.048576e-06,-72
0.0336,0.0004,0.0312,0.00097344,9.475854336e-07,-76
0.036,0.0024,0.0264,0.00069696,4.857532416e-07,-92
0.036399999999999995,0.0004,0.0272,0.00073984,5.473632256e-07,-92
0.04239999999999999,0.006,0.0152,0.00023104,5.33794816e-08,-112
0.044399999999999995,0.002,0.0112,0.00012544,1.57351936e-08,-120
0.04479999999999999,0.0004,0.0104,0.00010816,1.16985856e-08,-120
0.04519999999999999,0.0004,0.0096,9.216e-05,8.4934656e-09,-124
0.04759999999999999,0.0024,0.0048,2.304e-05,5.308416e-10,-128
0.04839999999999999,0.0008,0.0032,1.024e-05,1.048576e-10,-120
0.04959999999999999,0.0012,0.0056,3.136e-05,9.834496e-10,-132
0.05039999999999999,0.0008,0.004,1.6e-05,2.56e-10,-124
0.05079999999999999,0.0004,0.0048,2.304e-05,5.308416e-10,-128
0.05159999999999999,0.0008,0.0064,4.096e-05,1.6777216e-09,-128
0.05199999999999999,0.0004,0.0056,3.136e-05,9.834496e-10,-132
0.05279999999999999,0.0008,0.0072,5.184e-05,2.6873856e-09,-132
0.053599999999999995,0.0008,0.0088,7.744e-05,5.9969536e-09,-140
0.0544,0.0008,0.0072,5.184e-05,2.6873856e-09,-140
0.0552,0.0008,0.0088,7.744e-05,5.9969536e-09,-140
0.0576,0.0024,0.0136,0.00018496,3.42102016e-08,-156
0.0584,0.0008,0.0152,0.00023104,5.33794816e-08,-160
0.06,0.0016,0.0184,0.00033856,1.146228736e-07,-156
0.060399999999999995,0.0004,0.0192,0.00036864,1.358954496e-07,-160
0.06199999999999999,0.0016,0.0224,0.00050176,2.517630976e-07,-172
0.06239999999999999,0.0004,0.0232,0.00053824,2.897022976e-07,-176
0.06319999999999999,0.0008,0.0216,0.00046656,2.176782336e-07,-180
0.0652,0.002,0.0256,0.00065536,4.294967296e-07,-192
0.0676,0.0024,0.0208,0.00043264,1.871773696e-07,-208
0.0696,0.002,0.0248,0.00061504,3.782742016e-07,-220
0.0716,0.002,0.0288,0.00082944,6.879707136e-07,-216
0.072,0.0004,0.028,0.000784,6.14656e-07,-220
0.07239999999999999,0.0004,0.0288,0.00082944,6.879707136e-07,-224
0.07279999999999999,0.0004,0.0296,0.00087616,7.676563456e-07,-216
0.07599999999999998,0.0032,0.0232,0.00053824,2.897022976e-07,-236
0.07679999999999998,0.0008,0.0216,0.00046656,2.176782336e-07,-232
0.07799999999999999,0.0012,0.0192,0.00036864,1.358954496e-07,-228
0.07839999999999998,0.0004,0.02,0.0004,1.6e-07,-232
0.07879999999999998,0.0004,0.0208,0.00043264,1.871773696e-07,-236
0.07959999999999998,0.0008,0.0192,0.00036864,1.358954496e-07,-244
0.07999999999999997,0.0004,0.02,0.0004,1.6e-07,-248
0.08039999999999997,0.0004,0.0192,0.00036864,1.358954496e-07,-252
0.08159999999999998,0.0012,0.0168,0.00028224,7.96594176e-08,-256
0.08239999999999997,0.0008,0.0184,0.00033856,1.146228736e-07,-264
0.08319999999999997,0.0008,0.02,0.0004,1.6e-07,-272
0.08679999999999997,0.0036,0.0272,0.00073984,5.473632256e-07,-260
0.08919999999999997,0.0024,0.0224,0.00050176,2.517630976e-07,-276
0.09159999999999997,0.0024,0.0176,0.00030976,9.59512576e-08,-292
0.09239999999999997,0.0008,0.0192,0.00036864,1.358954496e-07,-296
0.09319999999999996,0.0008,0.0208,0.00043264,1.871773696e-07,-296
0.09399999999999996,0.0008,0.0192,0.00036864,1.358954496e-07,-304
0.09439999999999996,0.0004,0.02,0.0004,1.6e-07,-304
0.09519999999999995,0.0008,0.0184,0.00033856,1.146228736e-07,-300
0.09759999999999995,0.0024,0.0136,0.00018496,3.42102016e-08,-304
0.09999999999999995,0.0024,0.0184,0.00033856,1.146228736e-07,-328
0.10039999999999995,0.0004,0.0176,0.00030976,9.59512576e-08,-324
0.10079999999999995,0.0004,0.0168,0.00028224,7.96594176e-08,-324
0.10239999999999995,0.0016,0.0136,0.00018496,3.42102016e-08,-332
0.10439999999999995,0.002,0.0096,9.216e-05,8.4934656e-09,-332
0.10639999999999995,0.002,0.0136,0.00018496,3.42102016e-08,-340
0.10719999999999995,0.0008,0.0152,0.00023104,5.33794816e-08,-336
0.10839999999999995,0.0012,0.0128,0.00016384,2.68435456e-08,-348
