t_tot,t,m,m2,m4,E
0.395,0.395,0.725,0.525625,0.276281640625,-560
0.41500000000000004,0.02,0.765,0.585225,0.342488300625,-592
1.2875,0.8725,-0.98,0.9604,0.92236816,-776
2.2775,0.99,1.0,1.0,1.0,-800
3.2775,1.0,-1.0,1.0,1.0,-800
4.2775,1.0,1.0,1.0,1.0,-800
5.2775,1.0,-1.0,1.0,1.0,-800
6.2775,1.0,1.0,1.0,1.0,-800
7.2775,1.0,-1.0,1.0,1.0,-800
8.2775,1.0,1.0,1.0,1.0,-800
9.2775,1.0,-1.0,1.0,1.0,-800
10.2775,1.0,1.0,1.0,1.0,-800
11.2775,1.0,-1.0,1.0,1.0,-800
12.2775,1.0,1.0,1.0,1.0,-800
13.2775,1.0,-1.0,1.0,1.0,-800
14.2775,1.0,1.0,1.0,1.0,-800
15.2775,1.0,-1.0,1.0,1.0,-800
16.2775,1.0,1.0,1.0,1.0,-800
17.2775,1.0,-1.0,1.0,1.0,-800
18.2775,1.0,1.0,1.0,1.0,-800
19.2775,1.0,-1.0,1.0,1.0,-800
20.2775,1.0,1.0,1.0,1.0,-800
21.2775,1.0,-1.0,1.0,1.0,-800
22.2775,1.0,1.0,1.0,1.0,-800
23.2775,1.0,-1.0,1.0,1.0,-800
24.2775,1.0,1.0,1.0,1.0,-800
25.2775,1.0,-1.0,1.0,1.0,-800
26.2775,1.0,1.0,1.0,1.0,-800
27.2775,1.0,-1.0,1.0,1.0,-800
28.2775,1.0,1.0,1.0,1.0,-800
29.2775,1.0,-1.0,1.0,1.0,-800
30.2775,1.0,1.0,1.0,1.0,-800
31.2775,1.0,-1.0,1.0,1.0,-800
32.2775,1.0,1.0,1.0,1.0,-800
33.2775,1.0,-1.0,1.0,1.0,-800
34.2775,1.0,1.0,1.0,1.0,-800
35.2775,1.0,-1.0,1.0,1.0,-800
36.2775,1.0,1.0,1.0,1.0,-800
37.2775,1.0,-1.0,1.0,1.0,-800
38.2775,1.0,1.0,1.0,1.0,-800
39.2775,1.0,-1.0,1.0,1.0,-800
40.2775,1.0,1.0,1.0,1.0,-800
41.2775,1.0,-1.0,1.0,1.0,-800
42.2775,1.0,1.0,1.0,1.0,-800
43.2775,1.0,-1.0,1.0,1.0,-800
44.2775,1.0,1.0,1.0,1.0,-800
45.2775,1.0,-1.0,1.0,1.0,-800
46.2775,1.0,1.0,1.0,1.0,-800
47.2775,1.0,-1.0,1.0,1.0,-800
48.2775,1.0,1.0,1.0,1.0,-800
49.2775,1.0,-1.0,1.0,1.0,-800
50.2775,1.0,1.0,1.0,1.0,-800
