t_tot,t,m,m2,m4,E
0.0012,0.0012,-0.0216,0.00046656,2.176782336e-07,-56
0.0132,0.012,-0.0456,0.00207936,4.3237380096e-06,-152
0.0248,0.0116,-0.0688,0.00473344,2.24054542336e-05,-252
0.0796,0.0548,-0.1784,0.03182656,0.00101292992143,-684
0.4472,0.3676,0.5568,0.31002624,0.0961162694885,-2612
1.1552,0.708,-0.8592,0.73822464,0.544975619103,-4124
2.0792,0.924,0.9888,0.97772544,0.955947036023,-4916
3.0736,0.9944,-1.0,1.0,1.0,-5000
4.0736,1.0,1.0,1.0,1.0,-5000
5.0736,1.0,-1.0,1.0,1.0,-5000
6.0736,1.0,1.0,1.0,1.0,-5000
7.0736,1.0,-1.0,1.0,1.0,-5000
8.073599999999999,1.0,1.0,1.0,1.0,-5000
9.073599999999999,1.0,-1.0,1.0,1.0,-5000
10.073599999999999,1.0,1.0,1.0,1.0,-5000
11.073599999999999,1.0,-1.0,1.0,1.0,-5000
12.073599999999999,1.0,1.0,1.0,1.0,-5000
13.073599999999999,1.0,-1.0,1.0,1.0,-5000
14.073599999999999,1.0,1.0,1.0,1.0,-5000
15.073599999999999,1.0,-1.0,1.0,1.0,-5000
16.0736,1.0,1.0,1.0,1.0,-5000
17.0736,1.0,-1.0,1.0,1.0,-5000
18.0736,1.0,1.0,1.0,1.0,-5000
19.0736,1.0,-1.0,1.0,1.0,-5000
20.0736,1.0,1.0,1.0,1.0,-5000
21.0736,1.0,-1.0,1.0,1.0,-5000
22.0736,1.0,1.0,1.0,1.0,-5000
23.0736,1.0,-1.0,1.0,1.0,-5000
24.0736,1.0,1.0,1.0,1.0,-5000
25.0736,1.0,-1.0,1.0,1.0,-5000
26.0736,1.0,1.0,1.0,1.0,-5000
27.0736,1.0,-1.0,1.0,1.0,-5000
28.0736,1.0,1.0,1.0,1.0,-5000
29.0736,1.0,-1.0,1.0,1.0,-5000
30.0736,1.0,1.0,1.0,1.0,-5000
31.0736,1.0,-1.0,1.0,1.0,-5000
32.0736,1.0,1.0,1.0,1.0,-5000
33.0736,1.0,-1.0,1.0,1.0,-5000
34.0736,1.0,1.0,1.0,1.0,-5000
35.0736,1.0,-1.0,1.0,1.0,-5000
36.0736,1.0,1.0,1.0,1.0,-5000
37.0736,1.0,-1.0,1.0,1.0,-5000
38.0736,1.0,1.0,1.0,1.0,-5000
39.0736,1.0,-1.0,1.0,1.0,-5000
40.0736,1.0,1.0,1.0,1.0,-5000
41.0736,1.0,-1.0,1.0,1.0,-5000
42.0736,1.0,1.0,1.0,1.0,-5000
43.0736,1.0,-1.0,1.0,1.0,-5000
44.0736,1.0,1.0,1.0,1.0,-5000
45.0736,1.0,-1.0,1.0,1.0,-5000
46.0736,1.0,1.0,1.0,1.0,-5000
47.0736,1.0,-1.0,1.0,1.0,-5000
48.0736,1.0,1.0,1.0,1.0,-5000
49.0736,1.0,-1.0,1.0,1.0,-5000
50.0736,1.0,1.0,1.0,1.0,-5000
51.0736,1.0,-1.0,1.0,1.0,-5000
52.0736,1.0,1.0,1.0,1.0,-5000
53.0736,1.0,-1.0,1.0,1.0,-5000
54.0736,1.0,1.0,1.0,1.0,-5000
55.0736,1.0,-1.0,1.0,1.0,-5000
56.0736,1.0,1.0,1.0,1.0,-5000
57.0736,1.0,-1.0,1.0,1.0,-5000
58.0736,1.0,1.0,1.0,1.0,-5000
59.0736,1.0,-1.0,1.0,1.0,-5000
60.0736,1.0,1.0,1.0,1.0,-5000
61.0736,1.0,-1.0,1.0,1.0,-5000
62.0736,1.0,1.0,1.0,1.0,-5000
63.0736,1.0,-1.0,1.0,1.0,-5000
64.0736,1.0,1.0,1.0,1.0,-5000
65.0736,1.0,-1.0,1.0,1.0,-5000
66.0736,1.0,1.0,1.0,1.0,-5000
67.0736,1.0,-1.0,1.0,1.0,-5000
68.0736,1.0,1.0,1.0,1.0,-5000
69.0736,1.0,-1.0,1.0,1.0,-5000
70.0736,1.0,1.0,1.0,1.0,-5000
71.0736,1.0,-1.0,1.0,1.0,-5000
72.0736,1.0,1.0,1.0,1.0,-5000
73.0736,1.0,-1.0,1.0,1.0,-5000
74.0736,1.0,1.0,1.0,1.0,-5000
75.0736,1.0,-1.0,1.0,1.0,-5000
76.0736,1.0,1.0,1.0,1.0,-5000
77.0736,1.0,-1.0,1.0,1.0,-5000
78.0736,1.0,1.0,1.0,1.0,-5000
79.0736,1.0,-1.0,1.0,1.0,-5000
80.0736,1.0,1.0,1.0,1.0,-5000
