t_tot,t,m,m2,m4,E
0.0225,0.0225,0.02,0.0004,1.6e-07,12
0.024999999999999998,0.0025,0.015,0.000225,5.0625e-08,8
0.027499999999999997,0.0025,0.01,0.0001,1e-08,8
0.029999999999999995,0.0025,0.015,0.000225,5.0625e-08,0
0.032499999999999994,0.0025,0.01,0.0001,1e-08,-8
0.042499999999999996,0.01,0.03,0.0009,8.1e-07,-16
0.047499999999999994,0.005,0.02,0.0004,1.6e-07,-24
0.049999999999999996,0.0025,0.025,0.000625,3.90625e-07,-28
0.05499999999999999,0.005,0.035,0.001225,1.500625e-06,-32
0.057499999999999996,0.0025,0.04,0.0016,2.56e-06,-36
0.06249999999999999,0.005,0.05,0.0025,6.25e-06,-44
0.06499999999999999,0.0025,0.055,0.003025,9.150625e-06,-36
0.06749999999999999,0.0025,0.05,0.0025,6.25e-06,-36
0.1025,0.035,0.12,0.0144,0.00020736,-28
0.105,0.0025,0.115,0.013225,0.000174900625,-28
0.11249999999999999,0.0075,0.13,0.0169,0.00028561,-44
0.13999999999999999,0.0275,0.075,0.005625,3.1640625e-05,-52
0.1475,0.0075,0.06,0.0036,1.296e-05,-64
0.16,0.0125,0.035,0.001225,1.500625e-06,-60
0.1675,0.0075,0.05,0.0025,6.25e-06,-72
0.17,0.0025,0.055,0.003025,9.150625e-06,-72
0.17250000000000001,0.0025,0.05,0.0025,6.25e-06,-64
0.17750000000000002,0.005,0.04,0.0016,2.56e-06,-68
0.18500000000000003,0.0075,0.055,0.003025,9.150625e-06,-72
0.18750000000000003,0.0025,0.05,0.0025,6.25e-06,-72
0.19000000000000003,0.0025,0.055,0.003025,9.150625e-06,-80
0.20250000000000004,0.0125,0.08,0.0064,4.096e-05,-96
0.20750000000000005,0.005,0.07,0.0049,2.401e-05,-100
0.21250000000000005,0.005,0.06,0.0036,1.296e-05,-96
0.22250000000000006,0.01,0.08,0.0064,4.096e-05,-108
0.22500000000000006,0.0025,0.085,0.007225,5.2200625e-05,-108
0.24500000000000005,0.02,0.045,0.002025,4.100625e-06,-116
0.24750000000000005,0.0025,0.05,0.0025,6.25e-06,-120
0.25750000000000006,0.01,0.03,0.0009,8.1e-07,-112
0.2775000000000001,0.02,-0.01,0.0001,1e-08,-116
0.2825000000000001,0.005,0.0,0.0,0.0,-116
0.3025000000000001,0.02,0.04,0.0016,2.56e-06,-112
0.3050000000000001,0.0025,0.035,0.001225,1.500625e-06,-112
0.3075000000000001,0.0025,0.04,0.0016,2.56e-06,-116
