t_tot,t,m,m2,m4,E
0.0012,0.0012,0.0168,0.00028224,7.96594176e-08,124
0.0028,0.0016,0.0136,0.00018496,3.42102016e-08,104
0.031599999999999996,0.0288,0.0712,0.00506944,2.56992219136e-05,-144
0.049199999999999994,0.0176,0.1064,0.01132096,0.000128164135322,-304
0.2556,0.2064,-0.3064,0.09388096,0.00881363465052,-1432
0.6904,0.4348,0.5632,0.31719424,0.100612185889,-2584
0.6960000000000001,0.0056,0.5744,0.32993536,0.108857341778,-2636
0.7048000000000001,0.0088,0.592,0.350464,0.122825015296,-2708
1.4544000000000001,0.7496,-0.9072,0.82301184,0.67734848878,-4396
2.4004000000000003,0.946,0.9848,0.96983104,0.940572246148,-4884
3.3928000000000003,0.9924,-1.0,1.0,1.0,-5000
4.3928,1.0,1.0,1.0,1.0,-5000
5.3928,1.0,-1.0,1.0,1.0,-5000
6.3928,1.0,1.0,1.0,1.0,-5000
7.3928,1.0,-1.0,1.0,1.0,-5000
8.392800000000001,1.0,1.0,1.0,1.0,-5000
9.392800000000001,1.0,-1.0,1.0,1.0,-5000
10.392800000000001,1.0,1.0,1.0,1.0,-5000
11.392800000000001,1.0,-1.0,1.0,1.0,-5000
12.392800000000001,1.0,1.0,1.0,1.0,-5000
13.392800000000001,1.0,-1.0,1.0,1.0,-5000
14.392800000000001,1.0,1.0,1.0,1.0,-5000
15.392800000000001,1.0,-1.0,1.0,1.0,-5000
16.3928,1.0,1.0,1.0,1.0,-5000
17.3928,1.0,-1.0,1.0,1.0,-5000
18.3928,1.0,1.0,1.0,1.0,-5000
19.3928,1.0,-1.0,1.0,1.0,-5000
20.3928,1.0,1.0,1.0,1.0,-5000
21.3928,1.0,-1.0,1.0,1.0,-5000
22.3928,1.0,1.0,1.0,1.0,-5000
23.3928,1.0,-1.0,1.0,1.0,-5000
24.3928,1.0,1.0,1.0,1.0,-5000
25.3928,1.0,-1.0,1.0,1.0,-5000
26.3928,1.0,1.0,1.0,1.0,-5000
27.3928,1.0,-1.0,1.0,1.0,-5000
28.3928,1.0,1.0,1.0,1.0,-5000
29.3928,1.0,-1.0,1.0,1.0,-5000
30.3928,1.0,1.0,1.0,1.0,-5000
31.3928,1.0,-1.0,1.0,1.0,-5000
32.3928,1.0,1.0,1.0,1.0,-5000
33.3928,1.0,-1.0,1.0,1.0,-5000
34.3928,1.0,1.0,1.0,1.0,-5000
35.3928,1.0,-1.0,1.0,1.0,-5000
36.3928,1.0,1.0,1.0,1.0,-5000
37.3928,1.0,-1.0,1.0,1.0,-5000
38.3928,1.0,1.0,1.0,1.0,-5000
39.3928,1.0,-1.0,1.0,1.0,-5000
40.3928,1.0,1.0,1.0,1.0,-5000
41.3928,1.0,-1.0,1.0,1.0,-5000
42.3928,1.0,1.0,1.0,1.0,-5000
43.3928,1.0,-1.0,1.0,1.0,-5000
44.3928,1.0,1.0,1.0,1.0,-5000
45.3928,1.0,-1.0,1.0,1.0,-5000
46.3928,1.0,1.0,1.0,1.0,-5000
47.3928,1.0,-1.0,1.0,1.0,-5000
48.3928,1.0,1.0,1.0,1.0,-5000
49.3928,1.0,-1.0,1.0,1.0,-5000
50.3928,1.0,1.0,1.0,1.0,-5000
51.3928,1.0,-1.0,1.0,1.0,-5000
52.3928,1.0,1.0,1.0,1.0,-5000
53.3928,1.0,-1.0,1.0,1.0,-5000
54.3928,1.0,1.0,1.0,1.0,-5000
55.3928,1.0,-1.0,1.0,1.0,-5000
56.3928,1.0,1.0,1.0,1.0,-5000
57.3928,1.0,-1.0,1.0,1.0,-5000
58.3928,1.0,1.0,1.0,1.0,-5000
59.3928,1.0,-1.0,1.0,1.0,-5000
60.3928,1.0,1.0,1.0,1.0,-5000
61.3928,1.0,-1.0,1.0,1.0,-5000
62.3928,1.0,1.0,1.0,1.0,-5000
63.3928,1.0,-1.0,1.0,1.0,-5000
64.3928,1.0,1.0,1.0,1.0,-5000
65.3928,1.0,-1.0,1.0,1.0,-5000
66.3928,1.0,1.0,1.0,1.0,-5000
67.3928,1.0,-1.0,1.0,1.0,-5000
68.3928,1.0,1.0,1.0,1.0,-5000
69.3928,1.0,-1.0,1.0,1.0,-5000
70.3928,1.0,1.0,1.0,1.0,-5000
71.3928,1.0,-1.0,1.0,1.0,-5000
72.3928,1.0,1.0,1.0,1.0,-5000
73.3928,1.0,-1.0,1.0,1.0,-5000
74.3928,1.0,1.0,1.0,1.0,-5000
75.3928,1.0,-1.0,1.0,1.0,-5000
76.3928,1.0,1.0,1.0,1.0,-5000
77.3928,1.0,-1.0,1.0,1.0,-5000
78.3928,1.0,1.0,1.0,1.0,-5000
79.3928,1.0,-1.0,1.0,1.0,-5000
80.3928,1.0,1.0,1.0,1.0,-5000
