t_tot,t,m,m2,m4,E
0.000112,0.000112,-0.00376,1.5872256e-05,2.5192851053e-10,60
0.000844,0.000732,-0.002296,1.5872256e-05,2.5192851053e-10,-580
0.000848,4e-06,-0.002288,1.5872256e-05,2.5192851053e-10,-588
0.001392,0.000544,-0.0012,1.5872256e-05,2.5192851053e-10,-1004
0.00142,2.8e-05,-0.001144,1.5872256e-05,2.5192851053e-10,-1032
0.0014680000000000001,4.8e-05,-0.00124,1.5872256e-05,2.5192851053e-10,-1072
0.0015,3.2e-05,-0.001304,1.5872256e-05,2.5192851053e-10,-1096
0.002352,0.000852,-0.003008,1.5872256e-05,2.5192851053e-10,-1808
0.002508,0.000156,-0.00332,1.5872256e-05,2.5192851053e-10,-1944
0.002512,4e-06,-0.003328,1.5872256e-05,2.5192851053e-10,-1952
0.002548,3.6e-05,-0.0034,1.5872256e-05,2.5192851053e-10,-1984
0.0026639999999999997,0.000116,-0.003632,1.5872256e-05,2.5192851053e-10,-2096
0.002864,0.0002,-0.003232,1.5872256e-05,2.5192851053e-10,-2256
0.0028919999999999996,2.8e-05,-0.003176,1.5872256e-05,2.5192851053e-10,-2284
0.0035359999999999996,0.000644,-0.004464,1.5872256e-05,2.5192851053e-10,-2872
0.0036959999999999996,0.00016,-0.004784,1.5872256e-05,2.5192851053e-10,-3020
0.0037639999999999996,6.8e-05,-0.00492,1.5872256e-05,2.5192851053e-10,-3080
0.0037679999999999996,4e-06,-0.004928,1.5872256e-05,2.5192851053e-10,-3088
0.0037839999999999996,1.6e-05,-0.00496,1.5872256e-05,2.5192851053e-10,-3108
0.0038679999999999995,8.4e-05,-0.004792,1.5872256e-05,2.5192851053e-10,-3192
0.003967999999999999,0.0001,-0.004992,1.5872256e-05,2.5192851053e-10,-3292
0.003971999999999999,4e-06,-0.005,1.5872256e-05,2.5192851053e-10,-3300
0.004703999999999999,0.000732,-0.003536,1.5872256e-05,2.5192851053e-10,-3916
0.005023999999999999,0.00032,-0.002896,1.5872256e-05,2.5192851053e-10,-4164
0.005183999999999999,0.00016,-0.003216,1.5872256e-05,2.5192851053e-10,-4304
0.005187999999999999,4e-06,-0.003208,1.5872256e-05,2.5192851053e-10,-4312
