t_tot,t,m,m2,m4,E
0.0025,0.0025,0.03,0.0009,8.1e-07,-8
0.005,0.0025,0.035,0.001225,1.500625e-06,-12
0.049999999999999996,0.045,-0.055,0.003025,9.150625e-06,-24
0.057499999999999996,0.0075,-0.04,0.0016,2.56e-06,-28
0.0775,0.02,0.0,0.0,0.0,-20
0.08,0.0025,-0.005,2.5e-05,6.25e-10,-20
0.0825,0.0025,-0.01,0.0001,1e-08,-24
0.085,0.0025,-0.015,0.000225,5.0625e-08,-32
0.0975,0.0125,-0.04,0.0016,2.56e-06,-44
0.1075,0.01,-0.02,0.0004,1.6e-07,-48
0.1125,0.005,-0.03,0.0009,8.1e-07,-52
0.12,0.0075,-0.015,0.000225,5.0625e-08,-64
0.13999999999999999,0.02,0.025,0.000625,3.90625e-07,-52
0.16499999999999998,0.025,-0.025,0.000625,3.90625e-07,-76
0.20249999999999999,0.0375,0.05,0.0025,6.25e-06,-72
0.21749999999999997,0.015,0.08,0.0064,4.096e-05,-92
0.21999999999999997,0.0025,0.085,0.007225,5.2200625e-05,-92
0.22499999999999998,0.005,0.095,0.009025,8.1450625e-05,-96
0.22999999999999998,0.005,0.085,0.007225,5.2200625e-05,-104
0.23249999999999998,0.0025,0.08,0.0064,4.096e-05,-104
0.245,0.0125,0.055,0.003025,9.150625e-06,-108
0.2475,0.0025,0.05,0.0025,6.25e-06,-104
0.2575,0.01,0.07,0.0049,2.401e-05,-120
0.26,0.0025,0.075,0.005625,3.1640625e-05,-124
0.2625,0.0025,0.07,0.0049,2.401e-05,-128
0.28500000000000003,0.0225,0.025,0.000625,3.90625e-07,-120
0.29000000000000004,0.005,0.015,0.000225,5.0625e-08,-128
0.30750000000000005,0.0175,0.05,0.0025,6.25e-06,-148
0.32750000000000007,0.02,0.09,0.0081,6.561e-05,-148
0.33000000000000007,0.0025,0.095,0.009025,8.1450625e-05,-148
0.3950000000000001,0.065,-0.035,0.001225,1.500625e-06,-144
0.4025000000000001,0.0075,-0.02,0.0004,1.6e-07,-156
0.4300000000000001,0.0275,0.035,0.001225,1.500625e-06,-160
0.4650000000000001,0.035,0.105,0.011025,0.000121550625,-124
0.4725000000000001,0.0075,0.09,0.0081,6.561e-05,-116
0.4750000000000001,0.0025,0.085,0.007225,5.2200625e-05,-112
0.5000000000000001,0.025,0.035,0.001225,1.500625e-06,-108
0.5150000000000001,0.015,0.065,0.004225,1.7850625e-05,-112
0.5275000000000001,0.0125,0.04,0.0016,2.56e-06,-104
0.53,0.0025,0.035,0.001225,1.500625e-06,-104
0.535,0.005,0.025,0.000625,3.90625e-07,-104
0.5475,0.0125,0.05,0.0025,6.25e-06,-112
0.5675,0.02,0.01,0.0001,1e-08,-116
0.57,0.0025,0.015,0.000225,5.0625e-08,-116
0.58,0.01,-0.005,2.5e-05,6.25e-10,-128
0.5924999999999999,0.0125,0.02,0.0004,1.6e-07,-136
0.5999999999999999,0.0075,0.005,2.5e-05,6.25e-10,-136
0.6074999999999998,0.0075,0.02,0.0004,1.6e-07,-144
0.6224999999999998,0.015,0.05,0.0025,6.25e-06,-148
0.6249999999999998,0.0025,0.045,0.002025,4.100625e-06,-144
0.6274999999999997,0.0025,0.04,0.0016,2.56e-06,-144
0.6699999999999997,0.0425,-0.045,0.002025,4.100625e-06,-176
0.6849999999999997,0.015,-0.075,0.005625,3.1640625e-05,-180
0.6899999999999997,0.005,-0.085,0.007225,5.2200625e-05,-184
0.7074999999999997,0.0175,-0.12,0.0144,0.00020736,-188
0.7799999999999997,0.0725,0.025,0.000625,3.90625e-07,-184
0.7874999999999996,0.0075,0.04,0.0016,2.56e-06,-184
0.7899999999999996,0.0025,0.035,0.001225,1.500625e-06,-184
0.7924999999999995,0.0025,0.03,0.0009,8.1e-07,-188
0.7949999999999995,0.0025,0.035,0.001225,1.500625e-06,-192
0.7974999999999994,0.0025,0.04,0.0016,2.56e-06,-192
0.8649999999999994,0.0675,-0.095,0.009025,8.1450625e-05,-204
0.8699999999999994,0.005,-0.085,0.007225,5.2200625e-05,-208
0.8849999999999995,0.015,-0.055,0.003025,9.150625e-06,-216
