t_tot,t,m,m2,m4,E
0.0024,0.0024,0.0104,0.00010816,1.16985856e-08,68
0.0028,0.0004,0.0096,9.216e-05,8.4934656e-09,64
0.0032,0.0004,0.0088,7.744e-05,5.9969536e-09,64
0.0092,0.006,0.0208,0.00043264,1.871773696e-07,24
0.01,0.0008,0.0192,0.00036864,1.358954496e-07,16
0.0104,0.0004,0.0184,0.00033856,1.146228736e-07,16
0.0156,0.0052,0.0288,0.00082944,6.879707136e-07,-28
0.0264,0.0108,0.0504,0.00254016,6.4524128256e-06,-112
0.0316,0.0052,0.04,0.0016,2.56e-06,-148
0.045200000000000004,0.0136,0.0128,0.00016384,2.68435456e-08,-240
0.0476,0.0024,0.0176,0.00030976,9.59512576e-08,-260
0.064,0.0164,-0.0152,0.00023104,5.33794816e-08,-332
0.0664,0.0024,-0.02,0.0004,1.6e-07,-348
0.0984,0.032,0.044,0.001936,3.748096e-06,-508
0.1,0.0016,0.0408,0.00166464,2.7710263296e-06,-524
0.1032,0.0032,0.0344,0.00118336,1.4003408896e-06,-552
0.126,0.0228,0.08,0.0064,4.096e-05,-608
0.1336,0.0076,0.0648,0.00419904,1.76319369216e-05,-668
0.1376,0.004,0.0568,0.00322624,1.04086245376e-05,-696
0.2044,0.0668,-0.0768,0.00589824,3.47892350976e-05,-844
0.2068,0.0024,-0.072,0.005184,2.6873856e-05,-864
0.3372,0.1304,0.1888,0.03564544,0.00127059739279,-1280
0.6108,0.2736,-0.3584,0.12845056,0.0164995463643,-1928
0.6112,0.0004,-0.3576,0.12787776,0.0163527215026,-1936
1.0575999999999999,0.4464,0.5352,0.28643904,0.0820473236361,-2616
1.6427999999999998,0.5852,-0.6352,0.40347904,0.162795335719,-3320
2.3587999999999996,0.716,0.7968,0.63489024,0.403085616847,-3876
3.2071999999999994,0.8484,-0.9,0.81,0.6561,-4364
4.129599999999999,0.9224,0.9448,0.89264704,0.796818738021,-4620
5.092399999999999,0.9628,-0.9808,0.96196864,0.925383664344,-4844
6.070799999999998,0.9784,0.976,0.952576,0.907401035776,-4792
7.051199999999999,0.9804,-0.9848,0.96983104,0.940572246148,-4860
8.0352,0.984,0.9832,0.96668224,0.934474553131,-4848
9.0196,0.9844,-0.9856,0.97140736,0.943632259062,-4888
10.004800000000001,0.9852,0.9848,0.96983104,0.940572246148,-4848
10.9928,0.988,-0.9912,0.98247744,0.965261920109,-4920
11.986400000000001,0.9936,0.996,0.992016,0.984095744256,-4960
12.9776,0.9912,-0.9864,0.97298496,0.946699732386,-4876
13.9632,0.9856,0.9848,0.96983104,0.940572246148,-4864
14.948400000000001,0.9852,-0.9856,0.97140736,0.943632259062,-4860
15.936800000000002,0.9884,0.9912,0.98247744,0.965261920109,-4916
16.927200000000003,0.9904,-0.9896,0.97930816,0.959044472243,-4896
17.914,0.9868,0.984,0.968256,0.937519681536,-4848
18.8992,0.9852,-0.9864,0.97298496,0.946699732386,-4872
19.8888,0.9896,0.9928,0.98565184,0.971509549695,-4928
20.882,0.9932,-0.9936,0.98724096,0.974644713102,-4936
21.8748,0.9928,0.992,0.984064,0.968381956096,-4924
22.86,0.9852,-0.9784,0.95726656,0.916359266894,-4804
23.8452,0.9852,0.992,0.984064,0.968381956096,-4920
24.8308,0.9856,-0.9792,0.95883264,0.919360031529,-4820
25.8136,0.9828,0.9864,0.97298496,0.946699732386,-4868
26.7996,0.986,-0.9856,0.97140736,0.943632259062,-4872
27.7876,0.988,0.9904,0.98089216,0.96214942955,-4912
28.7772,0.9896,-0.9888,0.97772544,0.955947036023,-4896
29.7688,0.9916,0.9944,0.98883136,0.97778745852,-4944
30.7576,0.9888,-0.9832,0.96668224,0.934474553131,-4872
31.7408,0.9832,0.9832,0.96668224,0.934474553131,-4848
32.7236,0.9828,-0.9824,0.96510976,0.931436848847,-4840
33.7072,0.9836,0.9848,0.96983104,0.940572246148,-4860
34.6924,0.9852,-0.9856,0.97140736,0.943632259062,-4864
35.6764,0.984,0.9824,0.96510976,0.931436848847,-4864
36.6636,0.9872,-0.992,0.984064,0.968381956096,-4928
37.656400000000005,0.9928,0.9936,0.98724096,0.974644713102,-4936
38.647200000000005,0.9908,-0.988,0.976144,0.952857108736,-4888
39.63680000000001,0.9896,0.9912,0.98247744,0.965261920109,-4912
40.62640000000001,0.9896,-0.988,0.976144,0.952857108736,-4892
41.61480000000001,0.9884,0.9888,0.97772544,0.955947036023,-4900
42.60560000000001,0.9908,-0.9928,0.98565184,0.971509549695,-4928
43.59560000000001,0.99,0.9872,0.97456384,0.949774678236,-4888
44.58400000000001,0.9884,-0.9896,0.97930816,0.959044472243,-4908
45.57120000000001,0.9872,0.9848,0.96983104,0.940572246148,-4860
46.55520000000001,0.984,-0.9832,0.96668224,0.934474553131,-4860
47.54040000000001,0.9852,0.9872,0.97456384,0.949774678236,-4880
48.52480000000001,0.9844,-0.9816,0.96353856,0.928406556607,-4832
49.50760000000001,0.9828,0.984,0.968256,0.937519681536,-4856
50.49440000000001,0.9868,-0.9896,0.97930816,0.959044472243,-4904
51.480800000000016,0.9864,0.9832,0.96668224,0.934474553131,-4852
52.465600000000016,0.9848,-0.9864,0.97298496,0.946699732386,-4876
53.45000000000002,0.9844,0.9824,0.96510976,0.931436848847,-4848
54.435600000000015,0.9856,-0.9888,0.97772544,0.955947036023,-4900
55.426800000000014,0.9912,0.9936,0.98724096,0.974644713102,-4940
56.414400000000015,0.9876,-0.9816,0.96353856,0.928406556607,-4836
57.399200000000015,0.9848,0.988,0.976144,0.952857108736,-4892
58.386800000000015,0.9876,-0.9872,0.97456384,0.949774678236,-4880
59.375200000000014,0.9884,0.9896,0.97930816,0.959044472243,-4900
60.36400000000001,0.9888,-0.988,0.976144,0.952857108736,-4888
61.34920000000001,0.9852,0.9824,0.96510976,0.931436848847,-4840
62.33400000000001,0.9848,-0.9872,0.97456384,0.949774678236,-4872
63.31960000000001,0.9856,0.984,0.968256,0.937519681536,-4852
64.30640000000001,0.9868,-0.9896,0.97930816,0.959044472243,-4896
65.29440000000001,0.988,0.9864,0.97298496,0.946699732386,-4884
66.2836,0.9892,-0.992,0.984064,0.968381956096,-4924
67.274,0.9904,0.9888,0.97772544,0.955947036023,-4900
68.2632,0.9892,-0.9896,0.97930816,0.959044472243,-4900
69.2488,0.9856,0.9816,0.96353856,0.928406556607,-4868
70.2292,0.9804,-0.9792,0.95883264,0.919360031529,-4824
71.2128,0.9836,0.988,0.976144,0.952857108736,-4892
72.2,0.9872,-0.9864,0.97298496,0.946699732386,-4872
73.1888,0.9888,0.9912,0.98247744,0.965261920109,-4916
74.1788,0.99,-0.9888,0.97772544,0.955947036023,-4892
75.16919999999999,0.9904,0.992,0.984064,0.968381956096,-4924
76.15679999999999,0.9876,-0.9832,0.96668224,0.934474553131,-4864
77.1428,0.986,0.9888,0.97772544,0.955947036023,-4900
78.13279999999999,0.99,-0.9912,0.98247744,0.965261920109,-4916
79.1176,0.9848,0.9784,0.95726656,0.916359266894,-4828
80.10079999999999,0.9832,-0.988,0.976144,0.952857108736,-4892
