t_tot,t,m,m2,m4,E
0.0125,0.0125,-0.01,0.0001,1e-08,0
0.015000000000000001,0.0025,-0.005,2.5e-05,6.25e-10,4
0.025,0.01,-0.025,0.000625,3.90625e-07,0
0.04,0.015,0.005,2.5e-05,6.25e-10,0
0.045,0.005,-0.005,2.5e-05,6.25e-10,0
0.06,0.015,0.025,0.000625,3.90625e-07,-8
0.06999999999999999,0.01,0.005,2.5e-05,6.25e-10,-12
0.07749999999999999,0.0075,0.02,0.0004,1.6e-07,-16
0.08249999999999999,0.005,0.01,0.0001,1e-08,-20
0.0875,0.005,0.0,0.0,0.0,-28
0.0925,0.005,0.01,0.0001,1e-08,-28
0.095,0.0025,0.005,2.5e-05,6.25e-10,-32
0.10250000000000001,0.0075,0.02,0.0004,1.6e-07,-32
0.10750000000000001,0.005,0.01,0.0001,1e-08,-40
0.11000000000000001,0.0025,0.015,0.000225,5.0625e-08,-40
0.11250000000000002,0.0025,0.01,0.0001,1e-08,-44
0.11500000000000002,0.0025,0.005,2.5e-05,6.25e-10,-40
0.14,0.025,-0.045,0.002025,4.100625e-06,-56
0.14750000000000002,0.0075,-0.06,0.0036,1.296e-05,-60
0.15000000000000002,0.0025,-0.055,0.003025,9.150625e-06,-56
0.15250000000000002,0.0025,-0.05,0.0025,6.25e-06,-52
0.16000000000000003,0.0075,-0.065,0.004225,1.7850625e-05,-56
0.16250000000000003,0.0025,-0.06,0.0036,1.296e-05,-52
0.16500000000000004,0.0025,-0.055,0.003025,9.150625e-06,-60
0.17000000000000004,0.005,-0.045,0.002025,4.100625e-06,-60
0.17250000000000004,0.0025,-0.05,0.0025,6.25e-06,-60
0.17500000000000004,0.0025,-0.055,0.003025,9.150625e-06,-60
0.18750000000000006,0.0125,-0.08,0.0064,4.096e-05,-68
0.19000000000000006,0.0025,-0.075,0.005625,3.1640625e-05,-68
0.19250000000000006,0.0025,-0.08,0.0064,4.096e-05,-72
0.19500000000000006,0.0025,-0.085,0.007225,5.2200625e-05,-76
0.20750000000000007,0.0125,-0.06,0.0036,1.296e-05,-68
0.21250000000000008,0.005,-0.07,0.0049,2.401e-05,-64
0.21750000000000008,0.005,-0.08,0.0064,4.096e-05,-68
0.22000000000000008,0.0025,-0.075,0.005625,3.1640625e-05,-68
0.2250000000000001,0.005,-0.085,0.007225,5.2200625e-05,-80
0.2275000000000001,0.0025,-0.08,0.0064,4.096e-05,-84
0.2325000000000001,0.005,-0.09,0.0081,6.561e-05,-80
0.2550000000000001,0.0225,-0.045,0.002025,4.100625e-06,-88
0.2575000000000001,0.0025,-0.05,0.0025,6.25e-06,-88
0.27250000000000013,0.015,-0.08,0.0064,4.096e-05,-88
0.27750000000000014,0.005,-0.07,0.0049,2.401e-05,-92
0.28000000000000014,0.0025,-0.065,0.004225,1.7850625e-05,-96
0.28250000000000014,0.0025,-0.07,0.0049,2.401e-05,-92
0.28500000000000014,0.0025,-0.065,0.004225,1.7850625e-05,-100
0.28750000000000014,0.0025,-0.06,0.0036,1.296e-05,-100
0.29000000000000015,0.0025,-0.065,0.004225,1.7850625e-05,-100
0.30000000000000016,0.01,-0.085,0.007225,5.2200625e-05,-104
0.30500000000000016,0.005,-0.075,0.005625,3.1640625e-05,-104
0.31000000000000016,0.005,-0.085,0.007225,5.2200625e-05,-108
0.3275000000000002,0.0175,-0.05,0.0025,6.25e-06,-116
0.3600000000000002,0.0325,0.015,0.000225,5.0625e-08,-128
0.3675000000000002,0.0075,0.03,0.0009,8.1e-07,-132
0.38750000000000023,0.02,-0.01,0.0001,1e-08,-132
0.39000000000000024,0.0025,-0.005,2.5e-05,6.25e-10,-128
0.39750000000000024,0.0075,0.01,0.0001,1e-08,-136
0.41000000000000025,0.0125,0.035,0.001225,1.500625e-06,-132
0.42000000000000026,0.01,0.015,0.000225,5.0625e-08,-144
0.43000000000000027,0.01,0.035,0.001225,1.500625e-06,-148
0.4325000000000003,0.0025,0.04,0.0016,2.56e-06,-144
0.4350000000000003,0.0025,0.045,0.002025,4.100625e-06,-148
0.4375000000000003,0.0025,0.05,0.0025,6.25e-06,-148
0.4450000000000003,0.0075,0.065,0.004225,1.7850625e-05,-156
0.4500000000000003,0.005,0.055,0.003025,9.150625e-06,-160
0.4550000000000003,0.005,0.065,0.004225,1.7850625e-05,-160
0.4650000000000003,0.01,0.045,0.002025,4.100625e-06,-168
0.4675000000000003,0.0025,0.04,0.0016,2.56e-06,-172
0.4800000000000003,0.0125,0.065,0.004225,1.7850625e-05,-188
0.4825000000000003,0.0025,0.07,0.0049,2.401e-05,-188
0.4850000000000003,0.0025,0.065,0.004225,1.7850625e-05,-188
0.4875000000000003,0.0025,0.07,0.0049,2.401e-05,-196
0.5025000000000003,0.015,0.1,0.01,0.0001,-192
0.5050000000000002,0.0025,0.095,0.009025,8.1450625e-05,-196
0.5075000000000002,0.0025,0.09,0.0081,6.561e-05,-196
0.5100000000000001,0.0025,0.085,0.007225,5.2200625e-05,-200
0.5325000000000001,0.0225,0.13,0.0169,0.00028561,-212
0.535,0.0025,0.135,0.018225,0.000332150625,-212
0.54,0.005,0.125,0.015625,0.000244140625,-212
0.5425,0.0025,0.13,0.0169,0.00028561,-216
0.5449999999999999,0.0025,0.135,0.018225,0.000332150625,-216
0.5499999999999999,0.005,0.145,0.021025,0.000442050625,-220
0.5599999999999999,0.01,0.165,0.027225,0.000741200625,-216
0.5624999999999999,0.0025,0.17,0.0289,0.00083521,-212
0.5699999999999998,0.0075,0.155,0.024025,0.000577200625,-220
0.5724999999999998,0.0025,0.15,0.0225,0.00050625,-228
0.5774999999999998,0.005,0.14,0.0196,0.00038416,-228
0.5824999999999998,0.005,0.15,0.0225,0.00050625,-228
0.5849999999999997,0.0025,0.155,0.024025,0.000577200625,-232
0.5874999999999997,0.0025,0.16,0.0256,0.00065536,-236
0.5974999999999997,0.01,0.18,0.0324,0.00104976,-228
0.5999999999999996,0.0025,0.175,0.030625,0.000937890625,-228
0.6024999999999996,0.0025,0.17,0.0289,0.00083521,-228
0.6249999999999996,0.0225,0.125,0.015625,0.000244140625,-220
0.6274999999999995,0.0025,0.13,0.0169,0.00028561,-212
0.6299999999999994,0.0025,0.125,0.015625,0.000244140625,-208
0.6324999999999994,0.0025,0.12,0.0144,0.00020736,-208
0.6449999999999994,0.0125,0.095,0.009025,8.1450625e-05,-208
0.6474999999999993,0.0025,0.09,0.0081,6.561e-05,-208
0.6499999999999992,0.0025,0.095,0.009025,8.1450625e-05,-208
0.6524999999999992,0.0025,0.1,0.01,0.0001,-208
0.6599999999999991,0.0075,0.085,0.007225,5.2200625e-05,-208
0.6674999999999991,0.0075,0.07,0.0049,2.401e-05,-196
0.669999999999999,0.0025,0.065,0.004225,1.7850625e-05,-200
0.672499999999999,0.0025,0.06,0.0036,1.296e-05,-200
0.687499999999999,0.015,0.09,0.0081,6.561e-05,-204
0.689999999999999,0.0025,0.095,0.009025,8.1450625e-05,-204
0.694999999999999,0.005,0.085,0.007225,5.2200625e-05,-196
0.699999999999999,0.005,0.075,0.005625,3.1640625e-05,-188
0.709999999999999,0.01,0.095,0.009025,8.1450625e-05,-188
0.7124999999999989,0.0025,0.1,0.01,0.0001,-192
0.7224999999999989,0.01,0.08,0.0064,4.096e-05,-196
0.7474999999999989,0.025,0.13,0.0169,0.00028561,-212
0.7499999999999989,0.0025,0.135,0.018225,0.000332150625,-208
0.7624999999999988,0.0125,0.16,0.0256,0.00065536,-208
0.7674999999999988,0.005,0.15,0.0225,0.00050625,-204
0.7849999999999988,0.0175,0.115,0.013225,0.000174900625,-200
0.8274999999999988,0.0425,0.03,0.0009,8.1e-07,-200
0.8349999999999987,0.0075,0.015,0.000225,5.0625e-08,-200
0.8424999999999987,0.0075,0.03,0.0009,8.1e-07,-208
0.8524999999999987,0.01,0.05,0.0025,6.25e-06,-216
0.8574999999999987,0.005,0.04,0.0016,2.56e-06,-212
0.8599999999999987,0.0025,0.045,0.002025,4.100625e-06,-216
0.8624999999999986,0.0025,0.05,0.0025,6.25e-06,-212
0.8674999999999986,0.005,0.04,0.0016,2.56e-06,-212
0.8724999999999986,0.005,0.03,0.0009,8.1e-07,-208
0.8824999999999986,0.01,0.01,0.0001,1e-08,-208
0.8924999999999986,0.01,0.03,0.0009,8.1e-07,-204
0.9124999999999986,0.02,-0.01,0.0001,1e-08,-212
0.9199999999999986,0.0075,-0.025,0.000625,3.90625e-07,-220
0.9249999999999986,0.005,-0.015,0.000225,5.0625e-08,-212
0.9299999999999986,0.005,-0.025,0.000625,3.90625e-07,-216
0.9324999999999986,0.0025,-0.03,0.0009,8.1e-07,-212
0.9349999999999985,0.0025,-0.035,0.001225,1.500625e-06,-212
